"rank","source_path","analysis_path","score","confidence","has_schema_warning","table_count","total_row_count","review_status","reviewer","reviewed_at_utc","decision_basis","notes"
"27","C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\enedADL_cel.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedADL_cel__3b7acb984e91.mdb","-2","low","True","0","0","needs_followup","","","",""
"28","C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\SAUVE\enedADL_cel.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedADL_cel__3b7acb984e91.mdb","-2","low","True","0","0","needs_followup","","","",""
"29","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS23\ENEDIS23_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23___87e0451d9168.mdb","-3","low","True","0","0","needs_followup","","","",""
"30","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS22\ENEDIS22_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS22___bfd60e9bb301.mdb","-3","low","True","0","0","needs_followup","","","",""
"31","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\enedis\enedis_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis___34498a4ade44.mdb","-3","low","True","0","0","needs_followup","","","",""
"32","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\globlsys.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\globlsys__8e174f2092c4.mdb","-3","low","True","0","0","needs_followup","","","",""
"33","C:\AppSogelink\ERAS_Connect_2026\CLIENT\enedis23\enedis23_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis23___b4781bdb9489.mdb","-10","low","True","0","0","needs_followup","","","",""
"34","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Atlog\Atlog_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Atlog___eb7dc3b3b1b7.mdb","-18","low","True","0","0","needs_followup","","","",""
"35","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\FTTH\FTTH_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\FTTH___252d4cf5d6a9.mdb","-18","low","True","0","0","needs_followup","","","",""
"36","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\EauAss\eauAss_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\eauAss___e453a8a4b65c.mdb","-18","low","True","0","0","needs_followup","","","",""
"37","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\SOURCE\SOURCE_.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\SOURCE___16d297bcfca4.mdb","-18","low","True","0","0","needs_followup","","","",""
"38","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\EauAss\ext-champion- eu-ep-250_dwg.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ext-champion-_eu-ep-250_dwg__6d31c8b523d2.mdb","-18","low","True","0","0","needs_followup","","","",""
"39","C:\AppSogelink\ERAS_Connect_2026\SEED\ENEDIS23_DGN.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23_DGN__b0d05f0db23e.mdb","-40","low","True","0","0","needs_followup","","","",""
"40","C:\AppSogelink\ERAS_Connect_2026\SEED\enedis22_DGN.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis22_DGN__746ab9f2e721.mdb","-40","low","True","0","0","needs_followup","","","",""
"41","C:\AppSogelink\ERAS_Connect_2026\SEED\enedis_DGN.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis_DGN__35d2ebf4c831.mdb","-40","low","True","0","0","needs_followup","","","",""
"42","C:\AppSogelink\ERAS_Connect_2026\SEED\Affaires.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Affaires__53aaa8dfe53a.mdb","-40","low","True","0","0","needs_followup","","","",""
"43","C:\AppSogelink\ERAS_Connect_2026\SEED\modele.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modele__7e34ea0aa355.mdb","-50","low","True","0","0","needs_followup","","","",""
"44","C:\AppSogelink\ERAS_Connect_2026\SEED\modelevide.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modelevide__1606f9b0a3b6.mdb","-50","low","True","0","0","needs_followup","","","",""
"45","C:\AppSogelink\ERAS_Connect_2026\SEED\modeleAff.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modeleAff__07f5ffa46fce.mdb","-50","low","True","0","0","needs_followup","","","",""
"46","C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFAER2012_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFAER2012_DGN_sht__b1729750e426.mdb","-50","low","True","0","0","needs_followup","","","",""
"47","C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFAER_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFAER_DGN_sht__b1729750e426.mdb","-50","low","True","0","0","needs_followup","","","",""
"48","C:\AppSogelink\ERAS_Connect_2026\SEED\ENEDIS23_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23_DGN_sht__a65309b5fae7.mdb","-50","low","True","0","0","needs_followup","","","",""
"49","C:\AppSogelink\ERAS_Connect_2026\SEED\enedis22_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis22_DGN_sht__bee2f0356f5d.mdb","-50","low","True","0","0","needs_followup","","","",""
"50","C:\AppSogelink\ERAS_Connect_2026\SEED\enedis_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis_DGN_sht__1b03fd68d04a.mdb","-50","low","True","0","0","needs_followup","","","",""
"51","C:\AppSogelink\ERAS_Connect_2026\SEED\FTTH_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\FTTH_DGN_sht__363622659586.mdb","-50","low","True","0","0","needs_followup","","","",""
"52","C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFSOUT2012_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFSOUT2012_DGN_sht__e55713b85369.mdb","-50","low","True","0","0","needs_followup","","","",""
"53","C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFSOUT_DGN_sht.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFSOUT_DGN_sht__e55713b85369.mdb","-50","low","True","0","0","needs_followup","","","",""
"54","C:\AppSogelink\ERAS_Connect_2026\SEED\Sheet.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Sheet__5f080916af57.mdb","-60","low","True","0","0","needs_followup","","","",""
